Sentence #,Base Clause,Clause Type,Embedded Clause,notes
21,what time the train arrives,Polar Non-finite,whether to take the train,
21,what time the train arrives,Alt Finite,whether the train or the bus would arrive,
21,what time the train arrives,Alt Non-finite,whether to take the train or the bus,
22,which route she should take,Declarative Finite,that she took the fast route,
22,which route he should take,Declarative Non-finite,to take the fast route,no subject
22,which route he should take,D-linked Finite,which route she is taking,
22,which route he should take,D-linked Non-finite,which route to take,eugh
22,which route he should take,Non-d-linked Finite,[N/A],
22,which route he should take,Non-d-linked Non-finite,[N/A],
22,which route he should take,Polar Finite,whether she took the fast route,
22,which route he should take,Polar Non-finite,whether to take the fast route,
22,which route he should take,Alt Finite,whether she took the fast route or the slow route,
22,which route he should take,Alt Non-finite,whether to take the fast route or the slow route,
23,whether she passed the test,Declarative Finite,that she passed the test,
23,whether she passed the test,Declarative Non-finite,to pass the test,
23,whether she passed the test,D-linked Finite,which test she passed,
23,whether she passed the test,D-linked Non-finite,which test to pass,
23,whether she passed the test,Non-d-linked Finite,what she passed,
23,whether she passed the test,Non-d-linked Non-finite,what to pass,
23,whether she passed the test,Polar Finite,whether she passed the test,
23,whether she passed the test,Polar Non-finite,whether to pass the test,
23,whether she passed the test,Alt Finite,whether she passed or failed the test,
23,whether she passed the test,Alt Non-finite,whether to pass or fail the test,
24,whether Max stayed or left,Declarative Finite,that Max left,
24,whether Max stayed or left,Declarative Non-finite,to leave,
24,whether Max stayed or left,D-linked Finite,which place Max left,
24,whether Max stayed or left,D-linked Non-finite,which place to leave,
24,whether Max stayed or left,Non-d-linked Finite,where Max left,
24,whether Max stayed or left,Non-d-linked Non-finite,where to leave,
24,whether Max stayed or left,Polar Finite,whether Max left,
24,whether Max stayed or left,Polar Non-finite,whether to leave,
24,whether Max stayed or left,Alt Finite,whether Max stayed or left,
24,whether Max stayed or left,Alt Non-finite,whether to stay or leave,
